batch,requestIndex,concurrency,latencyMs,outcome,exceptionType,batchElapsedMs
11,4,8,91.626,BUSINESS_REJECTION,BidAmountTooLowException,119.527
11,5,8,119.313,BUSINESS_REJECTION,BidAmountTooLowException,119.527
11,6,8,52.223,SUCCESS,,119.527
11,7,8,82.551,SUCCESS,,119.527
12,0,8,58.598,BUSINESS_REJECTION,BidAmountTooLowException,97.354
12,1,8,42.433,BUSINESS_REJECTION,BidAmountTooLowException,97.354
12,2,8,50.798,BUSINESS_REJECTION,BidAmountTooLowException,97.354
12,3,8,97.202,BUSINESS_REJECTION,BidAmountTooLowException,97.354
12,4,8,35.280,BUSINESS_REJECTION,BidAmountTooLowException,97.354
12,5,8,25.713,SUCCESS,,97.354
12,6,8,72.896,SUCCESS,,97.354
12,7,8,89.139,SUCCESS,,97.354
13,0,8,23.141,SUCCESS,,82.689
13,1,8,82.616,BUSINESS_REJECTION,BidAmountTooLowException,82.689
13,2,8,64.405,BUSINESS_REJECTION,BidAmountTooLowException,82.689
13,3,8,75.732,BUSINESS_REJECTION,BidAmountTooLowException,82.689
13,4,8,69.954,BUSINESS_REJECTION,BidAmountTooLowException,82.689
13,5,8,58.186,BUSINESS_REJECTION,BidAmountTooLowException,82.689
13,6,8,36.751,SUCCESS,,82.689
13,7,8,50.880,SUCCESS,,82.689
14,0,8,63.672,BUSINESS_REJECTION,BidAmountTooLowException,83.565
14,1,8,69.888,BUSINESS_REJECTION,BidAmountTooLowException,83.565
14,2,8,49.860,BUSINESS_REJECTION,BidAmountTooLowException,83.565
14,3,8,83.350,BUSINESS_REJECTION,BidAmountTooLowException,83.565
14,4,8,26.816,SUCCESS,,83.565
14,5,8,76.290,BUSINESS_REJECTION,BidAmountTooLowException,83.565
14,6,8,56.642,BUSINESS_REJECTION,BidAmountTooLowException,83.565
14,7,8,41.769,SUCCESS,,83.565
15,0,8,63.050,BUSINESS_REJECTION,BidAmountTooLowException,120.518
15,1,8,28.850,SUCCESS,,120.518
15,2,8,120.407,BUSINESS_REJECTION,BidAmountTooLowException,120.518
15,3,8,43.354,SUCCESS,,120.518
15,4,8,55.993,SUCCESS,,120.518
15,5,8,76.001,SUCCESS,,120.518
15,6,8,92.848,SUCCESS,,120.518
15,7,8,111.316,SUCCESS,,120.518
16,0,8,92.960,BUSINESS_REJECTION,BidAmountTooLowException,98.962
16,1,8,31.837,SUCCESS,,98.962
16,2,8,86.990,BUSINESS_REJECTION,BidAmountTooLowException,98.962
16,3,8,52.698,BUSINESS_REJECTION,BidAmountTooLowException,98.962
16,4,8,44.958,SUCCESS,,98.962
16,5,8,98.685,BUSINESS_REJECTION,BidAmountTooLowException,98.962
16,6,8,64.863,SUCCESS,,98.962
16,7,8,79.290,SUCCESS,,98.962
17,0,8,50.653,BUSINESS_REJECTION,BidAmountTooLowException,96.441
17,1,8,70.067,BUSINESS_REJECTION,BidAmountTooLowException,96.441
17,2,8,44.124,BUSINESS_REJECTION,BidAmountTooLowException,96.441
17,3,8,24.085,SUCCESS,,96.441
