batch,requestIndex,concurrency,latencyMs,outcome,exceptionType,attemptsUsed,retryCount,conflictCount,exhausted,batchElapsedMs
8,0,8,45.146,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,51.024
8,1,8,50.946,SUCCESS,,1,0,0,false,51.024
8,2,8,45.296,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,51.024
8,3,8,44.800,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,51.024
8,4,8,44.693,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,51.024
8,5,8,45.103,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,51.024
8,6,8,44.971,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,51.024
8,7,8,44.492,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,51.024
9,0,8,41.331,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,51.239
9,1,8,41.209,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,51.239
9,2,8,41.561,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,51.239
9,3,8,41.521,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,51.239
9,4,8,41.533,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,51.239
9,5,8,41.370,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,51.239
9,6,8,51.039,SUCCESS,,1,0,0,false,51.239
9,7,8,41.337,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,51.239
10,0,8,46.111,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,50.290
10,1,8,40.150,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,50.290
10,2,8,45.542,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,50.290
10,3,8,45.581,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,50.290
10,4,8,45.523,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,50.290
10,5,8,50.143,SUCCESS,,1,0,0,false,50.290
10,6,8,45.423,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,50.290
10,7,8,45.435,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,50.290
11,0,8,34.625,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,43.331
11,1,8,36.285,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,43.331
11,2,8,36.520,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,43.331
11,3,8,36.269,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,43.331
11,4,8,43.191,SUCCESS,,1,0,0,false,43.331
11,5,8,34.654,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,43.331
11,6,8,36.023,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,43.331
11,7,8,33.790,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,43.331
12,0,8,51.831,SUCCESS,,1,0,0,false,51.892
12,1,8,45.140,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,51.892
12,2,8,45.228,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,51.892
12,3,8,45.257,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,51.892
12,4,8,45.059,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,51.892
12,5,8,46.186,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,51.892
12,6,8,43.986,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,51.892
12,7,8,45.547,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,51.892
13,0,8,33.032,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,39.502
13,1,8,32.997,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,39.502
13,2,8,32.923,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,39.502
13,3,8,32.121,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,39.502
13,4,8,33.518,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,39.502
13,5,8,32.165,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,39.502
13,6,8,32.006,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,39.502
13,7,8,39.314,SUCCESS,,1,0,0,false,39.502
14,0,8,38.612,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,42.800
14,1,8,37.441,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,42.800
14,2,8,38.555,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,42.800
14,3,8,38.538,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,42.800
14,4,8,42.645,SUCCESS,,1,0,0,false,42.800
14,5,8,38.378,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,42.800
14,6,8,38.342,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,42.800
14,7,8,38.226,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,42.800
15,0,8,27.276,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,34.868
15,1,8,26.584,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,34.868
15,2,8,27.314,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,34.868
15,3,8,34.764,SUCCESS,,1,0,0,false,34.868
15,4,8,26.560,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,34.868
15,5,8,27.250,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,34.868
15,6,8,27.201,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,34.868
15,7,8,27.203,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,34.868
16,0,8,38.638,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,45.433
16,1,8,37.436,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,45.433
16,2,8,37.550,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,45.433
16,3,8,37.427,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,45.433
16,4,8,45.334,SUCCESS,,1,0,0,false,45.433
16,5,8,37.105,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,45.433
16,6,8,37.310,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,45.433
16,7,8,38.992,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,45.433
17,0,8,36.651,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,40.508
17,1,8,40.463,SUCCESS,,1,0,0,false,40.508
17,2,8,36.637,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,40.508
17,3,8,36.692,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,40.508
17,4,8,36.633,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,40.508
17,5,8,36.611,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,40.508
17,6,8,36.533,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,40.508
